;x;y;timestamp
338;13;12;21932
339;13;12;21954
340;13;12;21978
341;13;12;22002
342;13;12;22023
343;13;12;22044
344;13;12;22077
345;13;12;22108
346;13;12;22132
347;13;12;22164
348;13;12;22193
349;13;12;22211
350;13;12;22233
351;13;12;22254
352;13;12;22288
353;13;12;22319
354;13;12;22345
355;13;12;22367
356;11;13;22387
357;10;13;22411
358;8;14;22432
359;7;14;22465
360;6;14;22497
361;5;14;22520
362;5;14;22545
363;5;14;22568
364;5;14;22588
365;5;14;22611
366;5;14;22632
367;5;14;22665
368;5;14;22698
369;5;14;22719
370;5;14;22757
371;5;14;22779
372;5;14;22800
373;5;14;22821
374;5;14;22842
375;5;14;22875
376;5;14;22907
377;5;14;22931
378;5;14;22957
379;5;14;22978
380;5;14;22998
381;5;14;23020
382;5;14;23045
383;5;14;23076
384;5;14;23107
385;5;14;23142
386;5;14;23166
387;4;12;23185
388;3;11;23213
389;2;10;23232
390;1;8;23253
391;1;7;23276
392;1;6;23309
393;1;6;23343
394;1;6;23365
395;1;6;23397
396;1;6;23422
397;1;6;23448
398;0;6;23466
399;1;6;23489
400;0;6;23512
401;1;6;23531
402;0;6;23565
403;0;6;23596
404;0;6;23630
405;0;6;23656
406;0;6;23680
407;0;6;23700
408;0;6;23721
409;0;6;23745
410;0;6;23776
411;0;6;23808
412;0;6;23833
413;0;6;23864
414;0;6;23888
415;0;6;23915
416;0;6;23932
417;1;6;23955
418;6;7;23978
419;8;8;24010
420;9;7;24043
421;10;7;24066
422;11;7;24097
423;13;7;24120
424;13;7;24146
425;14;6;24168
426;15;7;24189
427;15;7;24211
428;15;6;24232
429;15;6;24265
430;15;7;24299
431;15;7;24323
432;15;7;24344
433;15;7;24365
434;15;7;24389
435;15;7;24414
436;15;7;24443
437;15;7;24476
438;15;7;24498
439;15;7;24519
440;15;7;24545
441;15;7;24565
442;15;7;24587
443;15;7;24611
444;15;7;24635
445;15;7;24665
446;15;7;24697
447;15;7;24721
448;15;7;24746
449;15;7;24765
450;15;7;24788
451;15;7;24813
452;15;7;24832
453;15;7;24865
454;15;7;24899
455;15;7;24922
456;15;7;24943
457;15;7;24976
458;15;7;25009
459;15;7;25033
460;15;7;25053
461;15;7;25077
462;15;7;25098
463;15;7;25125
464;15;7;25154
465;15;7;25185
466;15;7;25212
467;15;7;25232
468;15;7;25253
469;15;7;25277
470;9;14;25298
471;7;15;25331
472;5;14;25368
473;4;14;25389
474;3;14;25419
475;3;14;25452
476;3;14;25478
477;2;12;25499
478;2;12;25523
479;2;12;25545
480;2;12;25565
481;2;12;25588
482;2;12;25614
483;2;12;25644
484;2;12;25675
485;2;12;25698
486;2;12;25719
487;2;12;25745
488;2;12;25765
489;2;12;25788
490;2;12;25811
491;2;12;25836
492;2;12;25865
493;2;12;25898
494;2;12;25921
495;2;12;25945
496;2;12;25965
497;2;12;25987
498;2;12;26012
499;2;12;26032
500;2;12;26053
501;2;12;26091
502;2;12;26120
503;2;12;26145
504;2;12;26164
505;2;12;26185
506;2;12;26210
507;2;12;26231
508;2;12;26264
509;2;12;26297
510;2;12;26323
511;2;12;26346
512;2;12;26364
513;2;12;26386
514;2;12;26409
515;2;12;26444
516;2;12;26475
517;2;12;26497
518;2;12;26519
519;2;12;26545
520;2;12;26568
521;2;12;26586
522;1;7;26611
523;5;7;26632
524;7;6;26664
525;9;7;26697
526;10;6;26721
527;10;6;26747
528;12;6;26765
529;13;5;26787
530;13;5;26816
531;14;5;26842
532;14;5;26875
533;14;5;26898
534;14;5;26918
535;14;5;26945
536;14;5;26965
537;14;5;26987
538;14;5;27010
539;14;5;27035
540;14;5;27064
541;14;5;27096
542;11;6;27120
543;11;6;27152
544;11;6;27177
545;11;6;27198
546;11;6;27222
547;11;6;27244
548;11;6;27265
549;11;6;27291
550;11;6;27312
551;11;6;27344
552;11;6;27375
553;11;6;27397
554;11;6;27420
555;11;6;27445
556;11;6;27464
557;11;6;27487
558;11;6;27511
559;11;6;27535
560;11;6;27564
561;11;6;27597
562;11;6;27620
563;11;6;27645
564;11;6;27665
565;11;6;27687
566;11;6;27712
567;10;14;27733
568;8;14;27767
569;7;14;27797
570;4;14;27819
571;4;14;27852
572;3;13;27878
573;3;13;27899
574;3;13;27923
575;3;13;27945
576;3;13;27965
577;3;13;27998
578;3;13;28032
579;3;13;28055
580;3;13;28085
581;3;13;28111
582;3;13;28132
583;3;13;28153
584;3;13;28178
585;3;13;28198
586;3;13;28231
587;3;13;28267
588;3;13;28287
589;3;13;28320
590;3;13;28353
591;3;13;28378
592;3;13;28398
593;3;13;28420
594;3;13;28446
595;3;13;28464
596;3;13;28501
597;3;13;28530
598;3;13;28553
599;3;13;28576
600;3;13;28597
601;3;13;28620
602;3;13;28645
603;3;13;28676
604;3;13;28709
605;3;13;28735
606;3;13;28753
607;3;13;28776
608;3;13;28797
609;3;13;28830
610;3;5;28863
611;6;4;28886
612;9;4;28918
613;10;4;28944
614;12;3;28968
615;13;3;28988
616;13;3;29011
617;13;3;29032
618;13;3;29053
619;13;3;29085
620;13;3;29118
621;13;3;29152
622;13;3;29177
623;13;3;29211
624;13;3;29233
625;13;3;29253
626;13;3;29277
627;13;3;29298
628;13;3;29330
629;13;3;29364
630;13;3;29386
631;13;3;29418
632;13;3;29446
633;13;3;29466
634;13;3;29486
635;13;3;29509
636;13;3;29543
637;13;12;29575
638;13;12;29609
639;13;12;29632
640;12;13;29652
641;12;13;29679
642;12;13;29699
643;12;13;29720
644;12;13;29742
645;12;13;29774
646;12;13;29805
647;12;13;29840
648;12;13;29864
649;11;12;29886
650;12;13;29909
651;12;13;29936
652;12;13;29964
653;12;13;29998
654;10;13;30021
655;9;14;30045
656;6;13;30065
657;5;13;30086
658;3;13;30110
659;3;13;30143
660;2;13;30177
661;2;12;30198
662;2;12;30230
663;2;12;30254
664;2;12;30276
665;2;12;30298
666;2;12;30320
667;2;12;30345
668;2;12;30364
669;2;12;30398
670;2;12;30431
671;2;12;30455
672;2;12;30476
673;2;12;30497
674;2;12;30519
675;2;12;30544
676;2;12;30575
677;2;12;30606
678;2;12;30630
679;2;12;30657
680;2;12;30678
681;2;12;30698
682;2;12;30719
683;2;12;30743
684;2;12;30775
685;2;12;30805
686;2;12;30841
687;2;12;30865
688;2;12;30898
689;2;12;30920
690;2;12;30945
691;2;12;30964
692;2;12;30986
693;2;12;31010
694;2;12;31044
695;2;12;31074
696;2;12;31098
697;2;12;31131
698;2;12;31156
699;2;12;31177
700;2;12;31198
701;2;12;31220
702;2;12;31244
703;3;5;31276
704;4;5;31308
705;7;5;31332
706;10;5;31356
707;9;5;31376
